,Score,Averagescores
0,-400.4000000000021,-400.4000000000021
1,-366.00000000000153,-383.2000000000018
2,-598.2,-454.86666666666787
3,-400.10000000000315,-441.17500000000166
4,-129.99999999999955,-378.94000000000125
5,-46.00000000000066,-323.4500000000011
6,-400.20000000000226,-334.414285714287
7,-297.0000000000002,-329.7375000000012
8,-400.30000000000206,-337.5777777777791
9,-400.70000000000203,-343.89000000000135
10,-400.60000000000207,-349.045454545456
11,-400.900000000002,-353.36666666666815
12,-400.60000000000224,-357.00000000000153
13,-58.00000000000065,-335.64285714285865
14,-214.9999999999996,-327.6000000000014
15,-59.00000000000065,-310.8125000000013
16,-400.100000000002,-316.0647058823543
17,-400.100000000002,-320.7333333333347
18,-598.2,-335.33684210526445
19,-598.2,-348.48000000000127
20,-598.1,-360.36666666666787
21,-81.00000000000051,-347.66818181818303
22,-401.1000000000021,-349.99130434782734
23,-270.99999999999966,-346.7000000000012
24,-401.10000000000207,-348.8760000000012
25,-90.0000000000004,-338.91923076923194
26,-400.100000000002,-341.1851851851864
27,-371.00000000000165,-342.25000000000125
28,-321.0000000000007,-341.51724137931154
29,-386.0000000000005,-343.00000000000114
30,-632.5000000000002,-352.33870967742047
31,-122.99999999999983,-345.1718750000011
32,-365.0000000000043,-345.77272727272845
33,-400.4000000000021,-347.3794117647071
34,-49.00000000000062,-338.85428571428685
35,-274.9999999999997,-337.08055555555666
36,-336.00000000000233,-337.0513513513525
37,-598.2,-343.9236842105274
38,-400.4000000000021,-345.371794871796
39,-51.00000000000063,-338.0125000000012
40,-400.9000000000021,-339.54634146341584
41,-353.0000000000012,-339.86666666666787
42,-400.8000000000021,-341.2837209302338
43,-603.0,-347.2318181818194
44,-400.50000000000205,-348.4155555555568
45,-619.1,-354.3000000000012
46,-400.10000000000207,-355.27446808510757
47,-609.2,-360.5645833333345
48,-312.0000000000004,-359.57346938775623
49,-601.0,-364.4020000000011
50,-641.2000000000004,-369.829411764707
51,-400.6000000000022,-370.421153846155
52,-140.00000000000006,-366.0735849056615
53,-400.4000000000021,-366.70925925926036
54,-401.10000000000207,-367.3345454545466
55,-628.8000000000002,-372.00357142857257
56,-598.2,-375.9719298245625
57,-692.8999999999999,-381.43620689655285
58,-138.00000000000017,-377.3101694915265
59,-631.8000000000004,-381.55166666666776
60,-380.00000000000165,-381.5262295081978
61,-401.0000000000021,-381.8403225806463
62,-400.80000000000206,-382.14126984127097
63,-400.7000000000022,-382.43125000000117
64,-186.99999999999983,-379.4246153846165
65,-200.99999999999966,-376.7212121212133
66,-214.9999999999997,-374.3074626865683
67,-294.0000000000001,-373.1264705882364
68,-400.30000000000206,-373.5202898550736
69,-400.10000000000207,-373.90000000000117
70,-401.1000000000021,-374.28309859155047
71,-134.00000000000023,-370.9458333333344
72,-314.00000000000057,-370.1657534246586
73,-400.1000000000021,-370.57027027027135
74,-606.0,-373.7093333333344
75,-392.00000000000205,-373.9500000000011
76,-44.00000000000067,-369.6649350649362
77,-353.00000000000136,-369.45128205128316
78,-160.99999999999878,-366.81265822784917
79,-51.00000000000063,-362.86500000000103
80,-400.80000000000206,-363.3333333333344
81,-400.7000000000019,-363.789024390245
82,-401.100000000002,-364.2385542168686
83,-231.99999999999952,-362.6642857142868
84,-401.0000000000021,-363.11529411764815
85,-400.20000000000203,-363.5465116279081
86,-598.2,-366.24367816092064
87,-604.0,-368.94545454545556
88,-400.30000000000206,-369.2977528089898
89,-601.6,-371.87888888888995
90,-400.7000000000021,-372.19560439560547
91,-274.99999999999966,-371.1391304347837
92,-400.3000000000021,-371.4526881720441
93,-400.60000000000207,-371.76276595744787
94,-261.9999999999995,-370.60736842105365
95,-643.6000000000005,-373.4510416666678
96,-400.4000000000021,-373.72886597938253
97,-400.7000000000021,-374.00408163265416
98,-290.0000000000007,-373.15555555555665
99,-400.4000000000021,-373.42800000000113
100,-597.0,-375.39400000000103
101,-598.2,-377.71600000000103
102,-400.100000000002,-375.73500000000104
103,-637.1000000000004,-378.10500000000104
104,-401.00000000000205,-380.815000000001
105,-274.99999999999983,-383.1050000000009
106,-112.00000000000027,-380.22300000000104
107,-598.2,-383.23500000000104
108,-276.9999999999998,-382.002000000001
109,-345.00000000000114,-381.44500000000096
110,-285.0,-380.28900000000095
111,-153.99999999999824,-377.82000000000096
112,-400.80000000000206,-377.82200000000097
113,-368.0000000000016,-380.922000000001
114,-400.7000000000021,-382.779000000001
115,-401.10000000000207,-386.20000000000095
116,-354.00000000000085,-385.7390000000009
117,-401.0000000000021,-385.7480000000009
118,-324.0000000000008,-383.0060000000009
119,-400.60000000000207,-381.03000000000094
120,-398.0000000000021,-379.0290000000009
121,-371.0000000000016,-381.92900000000094
122,-643.1,-384.34900000000096
123,-401.10000000000207,-385.650000000001
124,-401.00000000000205,-385.64900000000097
125,-400.400000000002,-388.75300000000095
126,-604.8000000000001,-390.80000000000103
127,-400.80000000000206,-391.0980000000011
128,-388.0000000000019,-391.76800000000105
129,-58.00000000000065,-388.488000000001
130,-163.00000000000003,-383.79300000000103
131,-623.1000000000001,-388.794000000001
132,-401.10000000000207,-389.15500000000094
133,-400.20000000000203,-389.153000000001
134,-282.9999999999998,-391.49300000000096
