,Score,Averagescores
0,311.0000000000059,311.0000000000059
1,-1.999999999998181,154.50000000000387
2,78.50000000000477,129.16666666667084
3,-72.00000000000082,78.87500000000293
4,316.00000000000597,126.30000000000355
5,313.0000000000059,157.4166666666706
6,94.40000000000538,148.41428571428986
7,-597.4000000000001,55.1875000000036
8,315.00000000000597,84.05555555555942
9,36.10000000000315,79.26000000000379
10,-284.99999999999415,46.14545454545852
11,-37.29999999999953,39.19166666667035
12,-441.39999999999975,2.223076923080341
13,-75.0000000000008,-3.292857142854026
14,312.0000000000059,17.72666666666997
15,310.00000000000585,35.99375000000346
16,20.60000000000258,35.088235294121056
17,310.0000000000059,50.36111111111466
18,310.00000000000585,64.02631578947735
19,315.000000000006,76.5750000000038
20,311.0000000000059,87.73809523809913
21,310.00000000000585,97.84090909091309
22,-473.1000000000009,73.0173913043516
23,-13.59999999999863,69.408333333337
24,312.0000000000059,79.11200000000376
25,310.00000000000585,87.99230769231153
26,310.00000000000585,96.21481481481872
27,308.00000000000585,103.77857142857542
28,310.00000000000585,110.88965517241785
29,309.00000000000585,117.49333333333745
30,310.00000000000585,123.70322580645579
31,309.0000000000059,129.49375000000424
32,312.0000000000059,135.0242424242467
33,310.00000000000585,140.17058823529842
34,311.00000000000585,145.05142857143292
35,310.0000000000059,149.6333333333377
36,310.00000000000585,153.96756756757196
37,313.0000000000059,158.1526315789518
38,310.0000000000059,162.04615384615832
39,312.0000000000059,165.79500000000456
40,312.00000000000585,169.3609756097607
41,-569.8000000000001,151.76190476190925
42,81.10000000000485,150.1186046511673
43,307.0000000000058,153.68409090909543
44,309.00000000000585,157.1355555555601
45,308.00000000000585,160.41521739130891
46,-485.3000000000007,146.67659574468527
47,-65.9000000000006,142.24791666667102
48,-290.99999999999415,133.40612244898398
49,69.20000000000431,132.12200000000436
50,-597.4000000000001,117.81764705882783
51,91.50000000000517,117.31153846154278
52,-36.999999999999545,114.40000000000424
53,312.00000000000585,118.05925925926351
54,314.00000000000597,121.62181818182248
55,-286.99999999999415,114.32500000000434
56,312.0000000000059,117.7929824561447
57,306.0000000000058,121.03793103448713
58,307.0000000000058,124.18983050847896
59,307.0000000000058,127.23666666667107
60,308.0000000000058,130.20000000000442
61,307.0000000000058,133.05161290323025
62,308.0000000000058,135.82857142857588
63,307.0000000000058,138.50312500000453
64,308.0000000000058,141.11076923077377
65,310.0000000000059,143.66969696970153
66,306.0000000000058,146.09253731343742
67,307.0000000000058,148.45882352941635
68,307.0000000000058,150.75652173913502
69,-570.6,140.4514285714331
70,-597.4000000000001,130.05915492958192
71,-14.499999999998664,128.05138888889334
72,307.0000000000058,130.50273972603188
73,308.0000000000058,132.90135135135583
74,-287.99999999999415,127.28933333333784
75,-70.10000000000076,124.69210526316233
76,1.8000000000018872,123.09610389610829
77,-76.20000000000078,120.54102564102996
78,-544.1000000000003,112.12784810127009
79,-597.4000000000001,103.25875000000424
80,315.0000000000059,105.87283950617709
81,-79.20000000000076,103.61585365854077
82,311.0000000000059,106.1144578313295
83,-62.800000000000495,104.10357142857558
84,313.00000000000597,106.5611764705924
